Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
818,537,83,13,6,3,55,114,61,11,3,80,41,281,2,0
738,543,86,14,2,1,35,195,0,12,15,55,30,163,0,0
914,598,92,55,3,2,55,168,0,19,7,59,60,33,2,0
678,486,92,31,2,2,30,71,0,13,0,54,44,74,1,0
593,379,86,0,2,1,40,81,0,13,4,59,49,101,0,0
474,344,83,19,1,1,35,46,0,14,5,72,49,84,1,0
681,442,93,12,2,2,25,44,0,16,5,65,64,132,4,0
909,503,91,59,5,4,80,93,0,18,4,88,68,143,1,0
847,638,88,12,1,1,10,107,0,14,2,77,39,106,1,0
774,598,87,47,2,2,30,66,0,12,3,81,47,39,2,0
556,425,80,48,2,2,45,91,0,13,4,83,56,NA,5,0
587,447,80,61,2,3,25,66,89,15,8,69,27,NA,3,0
678,445,89,34,4,4,50,67,228,14,4,71,79,NA,0,0
593,425,90,22,2,2,35,42,0,12,3,53,38,NA,0,0
979,625,91,57,5,5,75,65,86,17,6,77,89,61,1,0
619,382,88,68,2,4,35,39,58,11,8,68,61,49,0,0
450,326,89,93,3,2,30,88,0,9,0,71,49,NA,0,0
852,584,84,71,2,2,30,61,0,13,4,66,74,59,2,0
890,574,86,11,3,1,45,120,35,16,4,88,58,101,1,0
631,457,89,69,2,2,25,59,0,12,0,53,59,63,0,0
654,460,79,28,7,6,70,77,74,17,0,70,83,107,2,0
511,288,85,46,10,6,95,107,202,20,0,102,107,NA,0,0
663,399,91,26,2,2,45,58,0,12,8,86,54,106,0,0
610,386,92,63,4,5,60,115,0,18,4,94,71,180,3,0
597,385,84,191,12,10,95,115,51,20,0,116,136,436,3,0
585,366,85,24,4,4,50,91,0,14,4,77,66,103,2,0
700,433,91,56,2,3,45,65,50,15,0,71,63,43,1,0
827,585,90,6,4,2,45,86,0,14,7,72,62,617,2,0
651,352,89,109,5,7,55,77,54,17,3,79,69,292,1,0
625,430,92,85,3,3,35,83,0,12,0,64,41,128,4,0
608,411,91,24,1,1,25,41,0,11,0,60,49,NA,0,0
826,564,90,17,2,2,35,86,0,12,6,72,53,158,0,0
639,379,81,27,3,3,45,64,0,17,4,83,81,94,1,0
871,612,89,17,5,7,90,115,0,17,7,110,74,126,2,0
615,348,83,63,4,5,45,89,0,12,0,67,73,179,3,0
884,456,84,69,6,5,45,74,0,13,8,59,69,147,3,0
556,341,75,8,6,6,45,83,0,12,0,55,75,306,5,0
512,312,80,17,4,3,45,63,0,10,7,48,53,137,4,0
597,373,95,8,3,2,25,80,0,11,8,42,80,84,2,0
531,306,83,24,9,10,55,81,0,25,13,76,76,132,3,0
811,469,90,31,6,4,45,99,0,15,6,63,47,222,2,0
740,433,86,23,3,3,25,56,0,14,0,61,47,54,0,0
645,416,93,14,3,2,25,69,0,14,11,63,37,47,2,0
614,376,89,29,3,3,35,55,169,11,0,65,44,114,6,0
908,524,83,33,6,4,60,86,37,22,15,69,59,110,1,0
840,530,89,11,2,2,20,95,0,10,0,48,40,NA,1,0
980,529,94,15,3,2,45,159,0,17,0,57,58,163,2,0
740,462,88,6,8,4,45,88,41,13,3,69,71,81,5,0
650,399,90,14,8,6,60,103,46,17,0,67,90,92,1,0
804,481,86,26,4,4,50,55,0,10,9,64,76,37,0,0
1158,767,84,21,6,4,50,60,0,13,8,58,62,346,2,0
1030,656,92,22,4,4,60,90,0,12,7,64,69,29,4,0
580,374,81,0,6,5,65,87,0,15,4,55,62,121,2,0
645,393,90,0,4,2,35,77,50,11,5,65,48,NA,4,0
830,470,89,59,9,7,70,96,0,14,7,68,79,301,2,0
885,558,85,47,9,5,60,99,0,13,0,73,75,90,2,0
1122,720,91,48,4,2,30,50,0,10,3,69,53,134,3,0
884,583,90,6,5,4,50,59,0,9,3,69,77,124,3,0
792,515,88,49,9,4,50,77,0,12,5,65,95,114,7,0
816,540,92,35,2,2,25,41,0,10,0,43,46,123,1,0
609,353,86,49,9,7,75,89,0,15,4,92,129,164,2,0
780,472,89,136,5,5,65,99,0,16,4,75,70,115,1,0
700,481,92,28,5,3,55,127,37,13,0,67,78,200,4,0
760,510,92,24,3,2,35,70,0,11,3,68,49,39,2,0
873,590,96,5,2,1,30,70,0,9,0,59,43,241,3,0
426,272,92,20,1,1,25,71,0,11,19,54,31,NA,1,0
1083,751,91,17,1,1,15,57,0,9,0,60,27,129,2,0
758,526,94,45,2,1,20,81,41,12,0,64,45,106,4,0
747,447,94,74,3,3,35,128,0,15,9,65,36,NA,3,0
814,530,84,112,13,12,95,80,32,18,3,82,129,160,0,0
778,479,88,53,4,3,40,74,40,14,3,69,88,206,0,0
986,604,91,53,4,5,50,107,0,17,6,60,49,41,0,0
896,552,88,72,8,8,65,110,98,16,5,70,84,246,1,0
876,590,88,95,5,7,55,88,0,17,5,68,50,194,2,0
419,272,94,0,1,1,35,17,0,8,6,51,23,72,0,0
780,486,91,61,4,5,45,101,0,16,0,82,84,141,1,0
530,319,93,48,2,2,35,66,0,13,40,65,48,76,1,0
1023,625,93,47,5,3,50,82,0,13,3,61,38,225,0,0
489,275,96,21,2,0,35,81,80,14,13,56,24,205,1,0
515,370,93,40,2,2,25,143,0,10,5,72,41,NA,2,0
797,461,82,205,7,6,75,95,0,19,7,89,69,628,2,0
569,378,93,45,2,2,40,85,240,11,4,80,44,53,1,0
580,366,85,72,5,4,45,100,47,14,9,71,54,138,1,0
633,421,94,15,5,3,40,58,0,14,4,75,53,47,1,0
968,608,85,23,3,4,50,97,0,16,3,73,57,41,1,0
1164,694,91,13,1,1,15,46,0,13,8,59,30,60,0,0
910,631,93,11,2,2,40,64,0,14,8,65,53,NA,0,0
774,512,90,23,2,2,50,63,0,16,7,63,44,220,0,0
835,591,92,11,1,1,30,50,0,16,17,65,72,NA,0,0
629,464,90,26,2,3,40,59,0,16,0,71,54,NA,4,0
