Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
611,445,76,258,16,11,115,131,0,18,14,118,153,164,2,1
513,343,75,173,27,20,210,141,98,20,4,169,219,215,2,1
696,490,77,70,26,19,185,113,38,26,0,156,192,331,0,1
627,391,75,172,20,22,190,118,51,26,0,170,199,96,1,1
501,329,59,545,39,28,245,121,109,25,6,172,256,700,0,1
750,509,62,448,42,31,285,719,388,26,10,223,259,895,3,1
415,250,61,128,29,25,215,221,0,24,0,182,223,1231,0,1
955,579,87,23,8,8,110,156,0,22,0,106,113,231,1,1
967,564,72,153,32,26,225,143,202,26,14,146,226,507,1,1
737,450,64,229,34,29,245,141,300,30,17,183,212,707,3,1
1019,629,72,260,25,23,215,125,149,22,6,156,202,305,2,1
757,438,74,124,27,22,200,126,89,26,4,161,222,251,2,1
830,553,85,129,16,15,155,125,216,21,10,122,153,519,3,1
950,539,86,160,32,23,195,90,65,27,9,143,158,358,2,1
901,629,75,845,46,52,330,163,172,31,13,223,190,889,3,1
986,620,75,252,27,23,195,102,56,26,6,155,198,813,3,1
785,581,81,186,18,14,150,89,239,18,4,136,142,1250,4,1
878,575,70,552,41,31,255,166,63,25,5,223,233,844,2,1
653,456,72,195,32,27,270,112,239,25,10,165,194,859,5,1
722,426,81,149,22,20,195,127,46,25,0,149,197,111,0,1
742,513,67,280,31,26,230,142,213,20,11,154,170,553,6,1
782,535,73,346,21,19,175,135,135,19,7,148,163,551,4,1
738,557,76,155,33,27,245,206,152,25,10,200,227,828,5,1
962,674,67,310,34,32,270,211,135,25,2,179,257,552,1,1
751,475,64,206,57,45,475,181,253,25,8,182,278,907,4,1
902,591,77,76,5,3,25,398,28,19,3,160,179,477,3,1
596,337,75,119,43,36,275,143,0,30,7,166,225,471,4,1
586,312,69,145,31,29,220,111,59,29,4,163,202,667,1,1
840,487,82,109,20,17,150,117,38,20,7,119,185,429,1,1
925,543,73,272,24,25,190,129,72,30,0,150,192,455,2,1
932,519,79,88,29,29,210,126,84,31,3,165,197,333,3,1
722,398,86,88,23,21,170,93,53,26,7,146,167,402,0,1
531,327,73,279,29,21,175,69,0,28,6,152,203,585,2,1
578,361,76,210,34,26,220,148,168,31,3,159,245,589,2,1
891,544,80,83,26,20,185,109,70,25,4,143,182,551,3,1
709,398,87,149,25,24,205,92,183,26,11,131,177,452,2,1
574,435,68,252,42,34,285,207,168,22,0,139,221,907,4,1
633,449,84,99,21,20,195,206,410,18,8,145,197,791,2,1
884,497,73,319,35,35,140,35,259,26,13,165,255,929,4,1
551,364,68,188,44,32,300,169,154,29,9,180,228,491,2,1
812,471,72,118,29,23,200,203,369,30,7,176,226,469,1,1
618,389,73,236,38,30,300,153,97,25,4,182,239,438,1,1
828,523,81,178,22,20,200,112,153,26,13,149,219,109,4,1
